,method,seed,modal,acc
196,mmix_l_05_lr5e-4_wd1e-3,0,[0&1],0.9852136969566345
32,mmix_l_05_lr1e-3_wd0.0,0,[0&1],0.9852136969566345
279,mmix_l_05_lr1e-4_wd0.0,0,[0&1],0.9852136969566345
238,mmix_l_05_lr5e-4_wd1e-4,0,[0&1],0.9852136969566345
356,gmc_l_lr1e-4_wd1e-4,0,[0&1],0.9851160049438477
350,gmc_l_lr1e-4_wd1e-4,0,[0],0.9849839210510254
315,gmc_l_lr1e-4_wd1e-3,0,[0&2],0.9849092364311218
30,mmix_l_10_lr1e-3_wd0.0,0,[0&1],0.9847369194030762
280,mmix_l_10_lr1e-4_wd0.0,0,[0&1],0.9847369194030762
152,mmix_l_10_lr5e-4_wd0.0,0,[0&1],0.9847369194030762
322,mmix_l_10_lr1e-4_wd1e-3,0,[0&1],0.9847369194030762
68,mmix_l_10_lr1e-3_wd1e-3,0,[0&1],0.9847369194030762
195,mmix_l_10_lr5e-4_wd1e-3,0,[0&1],0.9847369194030762
363,mmix_l_10_lr1e-4_wd1e-4,0,[0&1],0.9847369194030762
109,mmix_l_10_lr1e-3_wd1e-4,0,[0&1],0.9847369194030762
237,mmix_l_10_lr5e-4_wd1e-4,0,[0&1],0.9847369194030762
290,gmc_nl_lr1e-4_wd0.0,0,[0&1],0.984455406665802
157,mmix_l_05_lr5e-4_wd0.0,0,[1&2],0.9843577742576599
364,mmix_l_05_lr1e-4_wd1e-4,0,[1&2],0.9843577742576599
75,mmix_l_05_lr1e-3_wd1e-3,0,[1&2],0.9843577742576599
116,mmix_l_05_lr1e-3_wd1e-4,0,[1&2],0.9843577742576599
198,mmix_l_05_lr5e-4_wd1e-3,0,[1&2],0.9843577742576599
240,mmix_l_05_lr5e-4_wd1e-4,0,[1&2],0.9843577742576599
35,mmix_l_05_lr1e-3_wd0.0,0,[1&2],0.9843577742576599
323,mmix_l_05_lr1e-4_wd1e-3,0,[1&2],0.9843577742576599
281,mmix_l_05_lr1e-4_wd0.0,0,[1&2],0.9843577742576599
374,gmc_nl_lr1e-4_wd1e-4,0,[0&1],0.9838809967041016
324,mmix_l_10_lr1e-4_wd1e-3,0,[1&2],0.9838350415229797
366,mmix_l_10_lr1e-4_wd1e-4,0,[1&2],0.9838350415229797
111,mmix_l_10_lr1e-3_wd1e-4,0,[1&2],0.9838350415229797
197,mmix_l_10_lr5e-4_wd1e-3,0,[1&2],0.9838350415229797
287,gmc_nl_lr1e-4_wd0.0,0,[0],0.9838350415229797
154,mmix_l_10_lr5e-4_wd0.0,0,[1&2],0.9838350415229797
239,mmix_l_10_lr5e-4_wd1e-4,0,[1&2],0.9838350415229797
282,mmix_l_10_lr1e-4_wd0.0,0,[1&2],0.9838350415229797
33,mmix_l_10_lr1e-3_wd0.0,0,[1&2],0.9838350415229797
71,mmix_l_10_lr1e-3_wd1e-3,0,[1&2],0.9838350415229797
269,gmc_l_lr1e-4_wd0.0,0,[0&1],0.9835650324821472
308,gmc_l_lr1e-4_wd1e-3,0,[0],0.9833467602729797
311,gmc_l_lr1e-4_wd1e-3,0,[0&1],0.9833467602729797
371,gmc_nl_lr1e-4_wd1e-4,0,[0],0.9832376837730408
375,gmc_nl_lr1e-4_wd1e-4,0,[1&2],0.9808191657066345
332,gmc_nl_lr1e-4_wd1e-3,0,[0&1],0.9807043075561523
291,gmc_nl_lr1e-4_wd0.0,0,[1&2],0.9803308844566345
329,gmc_nl_lr1e-4_wd1e-3,0,[0],0.9793888330459595
359,gmc_l_lr1e-4_wd1e-4,0,[1&2],0.9762752652168274
334,gmc_nl_lr1e-4_wd1e-3,0,[1&2],0.9760915040969849
270,gmc_l_lr1e-4_wd0.0,0,[1&2],0.9756779074668884
312,gmc_l_lr1e-4_wd1e-3,0,[1&2],0.9728572964668274
373,gmc_nl_lr1e-4_wd1e-4,0,[2],0.9418314099311829
289,gmc_nl_lr1e-4_wd0.0,0,[2],0.94140625
331,gmc_nl_lr1e-4_wd1e-3,0,[2],0.9318704605102539
268,gmc_l_lr1e-4_wd0.0,0,[2],0.9193933606147766
353,gmc_l_lr1e-4_wd1e-4,0,[2],0.9175034761428833
310,gmc_l_lr1e-4_wd1e-3,0,[2],0.9122530221939087
97,gmc_l_lr1e-3_wd1e-4,0,[1],0.9063016772270203
25,gmc_nl_lr1e-3_wd0.0,0,[1],0.8942497372627258
1,gmc_l_lr1e-3_wd0.0,0,[1],0.8918542861938477
246,gmc_nl_lr5e-4_wd1e-4,0,[1],0.8903090357780457
162,gmc_nl_lr5e-4_wd0.0,0,[1],0.8900160789489746
141,gmc_l_lr5e-4_wd0.0,0,[1],0.8889762759208679
73,gmc_nl_lr1e-3_wd1e-3,0,[1],0.8870002627372742
119,gmc_nl_lr1e-3_wd1e-4,0,[1],0.8865751624107361
183,gmc_l_lr5e-4_wd1e-3,0,[1],0.882128894329071
204,gmc_nl_lr5e-4_wd1e-3,0,[1],0.8789292573928833
50,gmc_l_lr1e-3_wd1e-3,0,[1],0.8769704103469849
213,mmix_nl_05_lr5e-4_wd1e-4,0,[1],0.8704215884208679
172,mmix_nl_05_lr5e-4_wd1e-3,0,[1],0.8704215884208679
6,mmix_nl_05_lr1e-3_wd0.0,0,[1],0.8704215884208679
130,mmix_nl_05_lr5e-4_wd0.0,0,[1],0.8704215884208679
45,mmix_nl_05_lr1e-3_wd1e-3,0,[1],0.8704215884208679
254,mmix_nl_05_lr1e-4_wd0.0,0,[1],0.8704215884208679
89,mmix_nl_05_lr1e-3_wd1e-4,0,[1],0.8704215884208679
296,mmix_nl_05_lr1e-4_wd1e-3,0,[1],0.8704215884208679
336,mmix_nl_05_lr1e-4_wd1e-4,0,[1],0.8704215884208679
225,gmc_l_lr5e-4_wd1e-4,0,[1],0.8687729835510254
110,mmix_l_05_lr1e-3_wd1e-4,0,[1],0.8614544868469238
26,mmix_l_05_lr1e-3_wd0.0,0,[1],0.8614544868469238
67,mmix_l_05_lr1e-3_wd1e-3,0,[1],0.8614544868469238
192,mmix_l_05_lr5e-4_wd1e-3,0,[1],0.8614544868469238
316,mmix_l_05_lr1e-4_wd1e-3,0,[1],0.8614544868469238
275,mmix_l_05_lr1e-4_wd0.0,0,[1],0.8614544868469238
355,mmix_l_05_lr1e-4_wd1e-4,0,[1],0.8614544868469238
151,mmix_l_05_lr5e-4_wd0.0,0,[1],0.8614544868469238
234,mmix_l_05_lr5e-4_wd1e-4,0,[1],0.8614544868469238
169,mmix_nl_10_lr5e-4_wd1e-3,0,[1],0.8596220016479492
255,mmix_nl_10_lr1e-4_wd0.0,0,[1],0.8596220016479492
338,mmix_nl_10_lr1e-4_wd1e-4,0,[1],0.8596220016479492
127,mmix_nl_10_lr5e-4_wd0.0,0,[1],0.8596220016479492
212,mmix_nl_10_lr5e-4_wd1e-4,0,[1],0.8596220016479492
7,mmix_nl_10_lr1e-3_wd0.0,0,[1],0.8596220016479492
297,mmix_nl_10_lr1e-4_wd1e-3,0,[1],0.8596220016479492
